Source,Target
Q15865426,Q452969
Q15873882,Q43624
Q15875812,Q43624
Q15879568,Q1073958
Q15881283,Q1073958
Q16114391,Q925476
Q162029,Q201240
Q16243047,Q5113
Q16537759,Q974811
Q16548850,Q974811
Q16567148,Q43624
Q16570728,Q1073958
Q16572676,Q974811
Q16587520,Q974811
Q16610353,Q201240
Q16611446,Q1073958
Q16687464,Q19166
Q16687592,Q20728897
Q16687765,Q19168
Q16688707,Q21659
Q16688748,Q20729579
Q16724410,Q171953
Q16735964,Q19168
Q16910814,Q19163
Q17114190,Q5113
Q171953,Q21659
Q17273280,Q19163
Q1760766,Q623060
Q17747564,Q19163
Q178702,Q162029
Q179112,Q974811
Q182761,Q926064
Q18341494,Q777396
Q1837596,Q5113
Q18379868,Q43624
Q18536564,Q43624
Q18604631,Q21659
Q18609049,Q25557
Q18609856,Q25557
Q18640249,Q25557
Q1869243,Q9304816
Q18718823,Q18718824
Q18718824,Q452969
Q1872867,Q944496
Q1877676,Q9304816
Q18889854,Q2281160
Q1897577,Q687310
Q19055,Q162029
Q19056,Q2281160
Q19068,Q1463540
Q19163,Q5113
Q19166,Q5113
Q19168,Q5113
Q19170,Q19166
Q1944830,Q868271
Q19551,Q1463540
Q19567380,Q19166
Q19598162,Q19166
Q19630,Q1463540
Q19776308,Q7090423
Q19776310,Q5113
Q19789329,Q15731102
Q19896718,Q853058
Q19904315,Q21659
Q199087,Q632986
Q19944890,Q26375
Q19961788,Q853058
Q19962640,Q19961995
Q19966172,Q25557
Q19966787,Q25557
Q20020647,Q10734253
Q20072173,Q20160855
Q20072186,Q388322
Q20072359,Q21659
Q20097931,Q19163
Q201240,Q26375
Q20160863,Q5113
Q20161975,Q5113
Q2032066,Q5113
Q2033411,Q5113
Q2039333,Q623060
Q204066,Q455997
Q2048635,Q855948
Q2056866,Q9304816
Q205930,Q162029
Q2061919,Q1073958
Q20679105,Q26375
Q20717861,Q19168
Q20719997,Q844415
Q20727609,Q15731102
Q20728897,Q26375
Q20729349,Q5113
Q20729579,Q26375
Q20729774,Q25557
Q20730092,Q25557
Q20731308,Q20731309
Q20731309,Q26375
Q20731723,Q5113
Q20740,Q5113
Q20830886,Q844415
Q2087629,Q16183713
Q20991814,Q5113
Q21078820,Q213536
Q21078871,Q1241572
Q21078895,Q21292513
Q21078901,Q26375
Q21197421,Q10759477
Q21216077,Q5113
Q21218937,Q21447698
Q21220594,Q452969
Q21223267,Q21447698
Q21226867,Q1073958
Q212526,Q2415068
Q21252689,Q869569
Q21267081,Q10766392
Q21276404,Q584362
Q21291219,Q25557
Q21291594,Q19166
Q21292359,Q19166
Q21292514,Q5113
Q21306841,Q687310
Q21306845,Q687310
Q21308826,Q14690166
Q21320430,Q43794
Q21326338,Q256637
Q21334133,Q26375
Q21345343,Q786840
Q21351934,Q21351929
Q21351946,Q21351941
Q21351973,Q19166
Q21351983,Q19166
Q21352712,Q21659
Q213536,Q21659
Q21363555,Q510996
Q21369065,Q25557
Q21369068,Q5113
Q21400383,Q25557
Q21406866,Q26375
Q21446235,Q855948
Q21447698,Q452969
Q2163058,Q72968
Q21651,Q853058
Q21659,Q5113
Q2193519,Q852812
Q21996167,Q19166
Q2209249,Q777396
Q22111932,Q136317
Q22113603,Q777396
Q221209,Q1073958
Q222951,Q974811
Q223475,Q516980
Q2281160,Q26375
Q22933805,Q21659
Q23148706,Q23148159
Q23307870,Q132731
Q2330918,Q19168
Q23498593,Q732487
Q23875376,Q5113
Q2389650,Q25557
Q2415068,Q725342
Q2432613,Q213536
Q2438740,Q1073958
Q2442601,Q855948
Q248520,Q10823961
Q249826,Q9304816
Q249947,Q10784300
Q249974,Q10823969
Q2508347,Q1073958
Q25095810,Q974811
Q25095811,Q21659
Q25096524,Q19168
Q251575,Q1073958
Q251765,Q925476
Q251842,Q16724410
Q25222,Q5881279
Q25261964,Q213536
Q25261966,Q25261964
Q25261985,Q25261964
Q25268830,Q740872
Q25269458,Q1286431
Q25269619,Q732487
Q25270064,Q732487
Q25270207,Q1286431
Q252851,Q455997
Q25305236,Q853058
Q253499,Q25557
Q25365,Q25557
Q25400322,Q108113159
Q25420258,Q21659
Q2542765,Q19172
Q25431576,Q26375
Q25431786,Q49151809
Q25432736,Q49119310
Q25433040,Q1463540
Q25433204,Q26375
Q25434764,Q21659
Q25435576,Q26375
Q25435620,Q868271
Q25435713,Q857531
Q254636,Q3917160
Q25557,Q19168
Q256552,Q1071983
Q25662647,Q756174
Q256637,Q1073958
Q2568429,Q623060
Q25691279,Q756174
Q2569760,Q623060
Q257832,Q1073958
Q26106,Q732487
Q262180,Q868271
Q2621831,Q5113
Q263388,Q1073958
Q26375,Q21659
Q263820,Q609156
Q2638663,Q1073958
Q2644816,Q5113
Q26623,Q25557
Q2663394,Q1037395
Q268028,Q10821699
Q26820906,Q388322
Q26821408,Q903903
Q26821411,Q756174
Q268392,Q852812
Q26844,Q43794
Q269385,Q10805346
Q2700549,Q213536
Q27043845,Q756174
Q27043853,Q994067
Q27074176,Q43624
Q27074551,Q777396
Q27074555,Q756174
Q27074559,Q1286431
Q27074564,Q903944
Q27074568,Q844415
Q27074570,Q844415
Q27074572,Q844415
Q27074573,Q844415
Q27074575,Q844415
Q27074577,Q844415
Q27074579,Q844415
Q27074582,Q844415
Q27074584,Q732487
Q27074585,Q994067
Q27074775,Q221209
Q27074777,Q632986
Q27074781,Q27074176
Q2718257,Q974811
Q2730115,Q5113
Q27601178,Q632066
Q27601180,Q632066
Q27601207,Q588900
Q27601209,Q588900
Q27601218,Q478592
Q27601221,Q478592
Q27601223,Q478592
Q27601226,Q478592
Q27601228,Q478592
Q27601230,Q478592
Q27601233,Q478592
Q27601248,Q1047217
Q27601251,Q1047217
Q27601253,Q1047217
Q27601255,Q1047217
Q27601258,Q1047217
Q27601321,Q848140
Q27601323,Q848140
Q27601326,Q848140
Q27601328,Q948701
Q27601331,Q948701
Q27601333,Q948701
Q27601336,Q948701
Q27601418,Q854855
