id	en_name	ja_name	en_aliases	ja_aliases	img_urls	taxon_rank	taxon_name	parent_taxon	BirdJPBookDB__data_audio_id	BirdJPBookDB__data_birdname	BirdResearchDB_label01_32k_audio_id	BirdResearchDB_label01_32k_birdname	JP	Research
Q30535	Peregrine Falcon	ハヤブサ	{'0': 'Falco peregrinus', '1': 'peregrine', '2': 'duck hawk', '3': 'Songolmae'}	{'0': 'シマハヤブサ', '1': 'ウスハヤブサ', '2': 'シベリアハヤブサ', '3': 'アメリカハヤブサ', '4': 'ツンドラハヤブサ', '5': 'オオハヤブサ', '6': '隼', '7': 'はやぶさ'}	{'0': 'https://www.wikidata.org/wiki/Q30535#/media/File:Faucon%20pelerin%207%20mai.jpg', '1': 'https://www.wikidata.org/wiki/Q30535#/media/File:American%20Peregrine%20Falcon%20(Falco%20peregrinus)%20(10700651733).jpg', '2': 'https://www.wikidata.org/wiki/Q30535#/media/File:Peregrine%20Falcon%20Nepal.jpg', '3': 'https://www.wikidata.org/wiki/Q30535#/media/File:Peregrine%20Falcon%20Kobble%20Apr07.JPG', '4': 'https://www.wikidata.org/wiki/Q30535#/media/File:Falco%20peregrinus%20minor,%20Cape%20Town,%20South%20Africa%20118534019.jpg'}	Q7432	Falco peregrinus	Q43489	2_16	ハヤブサ	data01/hayabusay_130801_muroan_kros.0000.wav	ハヤブサ	1	1
Q795565	Emerald Dove	キンバト	{'0': 'Chalcophaps indica', '1': 'Asian emerald dove', '2': 'Emerald Dove'}	{}	{'0': 'https://www.wikidata.org/wiki/Q795565#/media/File:Common%20Emerald%20Dove.jpg', '1': 'https://www.wikidata.org/wiki/Q795565#/media/File:Emerald%20Dove%20Chalcophaps%20indica%20by%20Female%20Dr.%20Raju%20Kasambe%20DSCN1106%20(6).jpg'}	Q7432	Chalcophaps indica	Q1463407	3_28	キンバト	data01/kinbato_130424_miyako_mtakagi.0000.wav	キンバト	1	1
Q6739527	Stejneger's Stonechat	ノビタキ	{'0': 'Saxicola stejnegeri'}	{}	"{'0': ""https://www.wikidata.org/wiki/Q6739527#/media/File:Stejneger's%20Stonechat.jpg""}"	Q7432	Saxicola stejnegeri	Q906092	4_46	ノビタキ	data01/nobitaki2_070620_nagano_kaji.0011.wav	ノビタキ	1	1
Q890912	Daurian Starling	シベリアムクドリ	{'0': 'Agropsar sturninus', '1': 'Sturnus sturninus', '2': 'Daurian Starling'}	{}	{'0': 'https://www.wikidata.org/wiki/Q890912#/media/File:Daurian%20starling%20from%20Uppungal%20Kole%20Wetlands%202018%20by%20Nesru%20Tirur.jpg'}	Q7432	Agropsar sturninus	Q3759722	6_20	シベリアムクドリ			1	0
Q10734465	Apalopteron		{}	{}	{'0': 'https://www.wikidata.org/wiki/Q10734465#/media/File:Bonin%20White-Eye.PNG'}	Q34740	Apalopteron	Q371086					0	0
Q147403	Haliaeetus	ウミワシ	{'0': 'erne', '1': 'ern', '2': 'fish eagle genus', '3': 'sea eagle genus'}	{}	{'0': 'https://www.wikidata.org/wiki/Q147403#/media/File:Adult%20White-tailed%20Eagle%20defending%20prey,%20Rezerwat%20Gostynin-Wloclawek,%20Poland.jpg', '1': 'https://www.wikidata.org/wiki/Q147403#/media/File:Haliaeetus%20leucocephalus2.jpg', '2': 'https://www.wikidata.org/wiki/Q147403#/media/File:Haliaeetus%20vocifer%20-Malawi%20-perching%20in%20tree-8b.jpg'}	Q34740	Haliaeetus	Q25510					0	0
Q25882	Graylag Goose	ハイイロガン	{'0': 'Anser anser', '1': 'Grey Lag', '2': 'Graylag Goose'}	{}	{'0': 'https://www.wikidata.org/wiki/Q25882#/media/File:Anser%20anser%20(aka).jpg', '1': 'https://www.wikidata.org/wiki/Q25882#/media/File:Graylag%20geese%20(Anser%20anser)%20in%20flight%201700.jpg', '2': 'https://www.wikidata.org/wiki/Q25882#/media/File:Grünau%20Cumberland%20Wildpark%20Gänsefamilie-3229.jpg'}	Q7432	Anser anser	Q183361	1_37	ハイイロガン			1	0
Q478632	Tricoloured Munia	ギンパラ	{'0': 'Lonchura malacca'}	{}	{'0': 'https://www.wikidata.org/wiki/Q478632#/media/File:Black-headed%20Munia%20I%20IMG%207747.jpg'}	Q7432	Lonchura malacca	Q852860	6_67	ギンパラ			1	0
Q25557	Gruiformes	ツル目	{}	{}	{'0': 'https://www.wikidata.org/wiki/Q25557#/media/File:Grúa%20004eue.jpg', '1': 'https://www.wikidata.org/wiki/Q25557#/media/File:Balearica%20regulorum%201%20Luc%20Viatour.jpg'}	Q36602	Gruiformes	Q19168					0	0
Q1069867	Gallirallus okinawae	ヤンバルクイナ	{'0': 'Okinawa rail', '1': 'Rallus okinawae'}	{'0': '山原水鶏'}	{'0': 'https://www.wikidata.org/wiki/Q1069867#/media/File:Okinawa%20Rail.jpg'}	Q7432	Gallirallus okinawae	Q147880	2_32	ヤンバルクイナ			1	0
