id,Label
Q2542765,Q2542765_Tinaminae
Q25431576,Q25431576_Miophasianus
Q25431786,Q25431786_Procrax brevipes
Q25432736,Q25432736_Chauvireria balcanica
Q25433040,Q25433040_Tympanuchus stirtoni
Q25433204,Q25433204_Pliogallus
Q25434764,Q25434764_Archaeophasianus
Q25435576,Q25435576_Plioperdix
Q25435620,Q25435620_Colinus suilium
Q25435713,Q25435713_Callipepla shotwelli
Q254636,Q254636_マクジャク
Q25557,Q25557_ツル目
Q256552,Q256552_アカハラシャクケイ
Q25662647,Q25662647_Caucasian grouse
Q256637,Q256637_Hillstar
Q2568429,Q2568429_Roll's Partridge
Q25691279,Q25691279_Tetrao tetrix
Q2569760,Q2569760_サイゴンミヤマテッケイ
Q257832,Q257832_Hylocharis
Q26106,Q26106_ヨーロッパヤマウズラ
Q262180,Q262180_ノドグロコリン
Q2621831,Q2621831_ヤツガシラ亜目
Q263388,Q263388_Eulampis
Q26375,Q26375_キジ科
Q263820,Q263820_カギハシハチドリ
Q2638663,Q2638663_Abeillia
Q2644816,Q2644816_Liptornis
Q26623,Q26623_クイナ科
Q2663394,Q2663394_Mitu
Q268028,Q268028_カンムリハチドリ
Q26820906,Q26820906_Salle's quail
Q26821408,Q26821408_Dendragapus canadensis
Q26821411,Q26821411_Tetrao canadensis
Q268392,Q268392_エボシコクジャク
Q26844,Q26844_シチメンチョウ
Q269385,Q269385_ヨコフウズラ
Q2700549,Q2700549_Aepypodius
Q27043845,Q27043845_Tetrao chinensis
Q27043853,Q27043853_ヒメウズラ
Q27074176,Q27074176_Juliamyia
Q27074551,Q27074551_ニューギニアツカツクリ
Q27074555,Q27074555_オオライチョウ
Q27074559,Q27074559_ハイバネシャコ
Q27074564,Q27074564_カミナガシャコ
Q27074568,Q27074568_アンゴラシャコ
Q27074570,Q27074570_フタツケズメシャコ
Q27074572,Q27074572_クロクビワシャコ
Q27074573,Q27074573_カメルーンヤマシャコ
Q27074575,Q27074575_ウツクシシャコ
Q27074577,Q27074577_ソマリアシャコ
Q27074579,Q27074579_ケープキジシャコ
Q27074582,Q27074582_アカノドシャコ
Q27074584,Q27074584_ヤマウズラ
Q27074585,Q27074585_アオヒメウズラ
Q27074775,Q27074775_Colibri cyanotus
Q27074777,Q27074777_シマカザリハチドリ
Q27074781,Q27074781_スミレハラハチドリ
Q2718257,Q2718257_Argusianus
Q2730115,Q2730115_Sauriurae
Q27601178,Q27601178_Alectura lathami purpureicollis
Q27601180,Q27601180_Alectura lathami lathami
Q27601207,Q27601207_Megapodius laperouse senex
Q27601209,Q27601209_Megapodius laperouse laperouse
Q27601218,Q27601218_Megapodius cumingii cumingii
Q27601221,Q27601221_Megapodius cumingii dillwyni
Q27601223,Q27601223_Megapodius cumingii pusillus
Q27601226,Q27601226_Megapodius cumingii tabon
Q27601228,Q27601228_Megapodius cumingii gilbertii
Q27601230,Q27601230_Megapodius cumingii sanghirensis
Q27601233,Q27601233_Megapodius cumingii talautensis
Q27601248,Q27601248_Megapodius reinwardt reinwardt
Q27601251,Q27601251_Megapodius reinwardt macgillivrayi
Q27601253,Q27601253_Megapodius reinwardt tumulus
Q27601255,Q27601255_Megapodius reinwardt yorki
Q27601258,Q27601258_Megapodius reinwardt castanonotus
Q27601321,Q27601321_Penelope purpurascens purpurascens
