Source,Label,Target
Q1264029,Q1264029_ヒゲウズラ,Q903982
Q1264058,Q1264058_オナガケンバネハチドリ,Q535829
Q1264146,Q1264146_ニシアカバネシギダチョウ,Q1080915
Q1264380,Q1264380_アカバネテリハチドリ,Q1035119
Q1264398,Q1264398_ヒゲシャクケイ,Q1071983
Q1264425,Q1264425_モリシギダチョウ,Q625342
Q1264439,Q1264439_ヒメシギダチョウ,Q625342
Q1264455,Q1264455_ミヤマエゾライチョウ,Q926064
Q1264540,Q1264540_ムナグロヤマハチドリ,Q256637
Q1264730,Q1264730_ハイバラミズベハチドリ,Q584362
Q1265085,Q1265085_アイガシラハチドリ,Q535829
Q1265206,Q1265206_シロハラチビハチドリ,Q595643
Q1265238,Q1265238_コシジマシギダチョウ,Q625342
Q1265466,Q1265466_アメシストニジハチドリ,Q516945
Q1265474,Q1265474_ルリムネケンバネハチドリ,Q535829
Q1265542,Q1265542_コバシシギダチョウ,Q625342
Q1265587,Q1265587_タマフウズラ,Q388322
Q1265775,Q1265775_ヒノドテリオハチドリ,Q541709
Q1265835,Q1265835_ルリボウシエメラルドハチドリ,Q455997
Q1265902,Q1265902_Sooty Grouse,Q903903
Q1265911,Q1265911_ミドリボウシテリハチドリ,Q1035119
Q1266045,Q1266045_ナタールキジシャコ,Q844415
Q1266053,Q1266053_エボシツカツクリ,Q2700549
Q1266212,Q1266212_ウロコテリオハチドリ,Q541709
Q1266282,Q1266282_アカアシシギダチョウ,Q625342
Q1266303,Q1266303_ムネアカハチドリ,Q609156
Q1266344,Q1266344_マダラウズラ,Q1080907
Q1266435,Q1266435_ズグロシギダチョウ,Q625342
Q1266683,Q1266683_クロガオシャコ,Q844415
Q1266692,Q1266692_サファイアハチドリ,Q257832
Q1266737,Q1266737_フチオハチドリ,Q540586
Q1266744,Q1266744_フンボルトサファイアハチドリ,Q257832
Q1267247,Q1267247_ハゲガオホウカンチョウ,Q869569
Q1267444,Q1267444_キコブホウカンチョウ,Q869569
Q1267591,Q1267591_Francolinus sephaena,Q740872
Q1267803,Q1267803_ゴマダラシギダチョウ,Q929516
Q1267836,Q1267836_クロアシシャクケイ,Q1071983
Q1268074,Q1268074_ハシナガハチドリ,Q430821
Q1268165,Q1268165_ハイナンミヤマテッケイ,Q623060
Q1268200,Q1268200_チャミミシャコ,Q844415
Q1268396,Q1268396_マレイルシャクケイ,Q1071983
Q1268473,Q1268473_コウゲンシャコ,Q1286431
Q1268508,Q1268508_ドウイロテリオハチドリ,Q541709
Q1268546,Q1268546_ダーウィンシギダチョウ,Q1069587
Q1268606,Q1268606_スミレビタイテリハチドリ,Q1035119
Q1268985,Q1268985_シロマユオナガウズラ,Q903982
Q1269019,Q1269019_オナガウズラ,Q903982
Q1269109,Q1269109_セグロトゲハシハチドリ,Q431110
Q1269318,Q1269318_エリマキチビハチドリ,Q595643
Q1269438,Q1269438_フジノドテリオハチドリ,Q541709
Q1269554,Q1269554_Francolinus swierstrai,Q740872
Q1269697,Q1269697_アマゾンシギダチョウ,Q625342
Q1269742,Q1269742_ムナジロチビハチドリ,Q595643
Q1269968,Q1269968_コシアカユミハチドリ,Q1089119
Q1269976,Q1269976_チャノドユミハチドリ,Q1089119
Q1270211,Q1270211_ハリオハチドリ,Q595643
Q1270229,Q1270229_キアシシギダチョウ,Q625342
Q1270356,Q1270356_アゴヒゲハチドリ,Q1081445
Q1270445,Q1270445_アンデスシギダチョウ,Q929516
Q1270453,Q1270453_New Guinea Scrubfowl,Q777396
Q1271070,Q1271070_アカハシミヤマテッケイ,Q623060
Q1271333,Q1271333_クロビタイサファイアハチドリ,Q791206
Q1271821,Q1271821_ブロンズハチドリ,Q609156
