id	parent_taxon
Q27636845	Q422873
Q193593	Q1991437
Q109563364	Q1079850
Q27623607	Q973837
Q27628901	Q3178456
Q40979214	Q583659
Q27601705	Q1260944
Q25683596	Q13426919
Q587047	Q541709
Q785217	Q988634
Q107207954	Q14854111
Q21348228	Q905057
Q5065793	Q568512
Q27608397	Q305255
Q220578	Q310853
Q27606057	Q1265270
Q174976	Q454872
Q675077	Q1145127
Q538383	Q905044
Q21346264	Q852731
Q27632679	Q27075698
Q31873702	Q570477
Q27615260	Q828544
Q18088144	Q188854
Q28919177	Q614481
Q28122642	Q687310
Q41012560	Q737426
Q27605338	Q116670
Q28866633	Q10803103
Q27613821	Q839945
Q752529	Q20740
Q27625988	Q1590952
Q27629057	Q12255626
Q27629555	Q637143
Q40442371	Q1590538
Q27623955	Q851570
Q27622529	Q541440
Q27623658	Q273067
Q62127674	Q62127202
Q41021962	Q2188600
Q40657070	Q671699
Q62080772	Q31843655
Q551736	Q115661
Q40986121	Q859842
Q27638719	Q588651
Q41025821	Q115661
Q1940238	Q20672200
Q27630963	Q338246
Q1263294	Q1089119
Q27624655	Q2225465
Q27632158	Q945095
Q27600601	Q933682
Q27610852	Q898991
Q542722	Q584362
Q1271552	Q937893
Q22082941	Q671699
Q41171180	Q47456549
Q5518222	Q1007595
Q2587117	Q217478
Q855024	Q269203
Q21325214	Q10809423
Q40515812	Q3726393
Q15977274	Q550595
Q27629508	Q2667984
Q27623844	Q1060851
Q680349	Q630022
Q40658249	Q1190045
Q690826	Q388003
Q41158914	Q26623
Q1300873	Q10750655
Q903053	Q583022
Q845964	Q827257
Q27074809	Q19622342
Q27621614	Q752678
Q27614256	Q1271295
Q129708	Q25682895
Q27604086	Q589171
Q41026262	Q1325955
Q41015532	Q529105
Q27636631	Q1585995
Q27612551	Q669331
Q10741566	Q774034
Q27611471	Q12843886
Q27636834	Q26961
Q27956742	Q10809423
Q31874373	Q1082200
Q1812742	Q1959514
Q725276	Q12785142
Q27604947	Q605431
Q27631846	Q2227818
Q27074757	Q9335687
Q50877895	Q25565
Q948936	Q620213
Q2226784	Q1082554
Q11345094	Q782355
Q40511560	Q954652
Q204140	Q608715
Q27614273	Q1266235
Q41171168	Q40657440
Q27941825	Q611069
Q41171114	Q47456397
Q1590005	Q1424573
Q1302706	Q132900
Q27617944	Q1262200
Q27635517	Q27075797
Q40539576	Q27074582
Q22917089	Q550595
Q27609315	Q913892
Q90124949	Q19370
Q7256091	Q7256090
Q109563378	Q2090536
Q31874356	Q905044
Q16688718	Q20729525
Q1262737	Q10762763
Q27637084	Q611926
Q21355107	Q634448
Q27628545	Q18599584
Q27609116	Q1260727
Q41012079	Q1082724
Q41014149	Q3389415
Q41017424	Q979624
Q27638082	Q1590459
