	audio_id	audio_file_path	book_id	title	bird_name	id	en_name	ja_name	path	ja_path_name	en_path_name	path_taxon_rank_name
10	1_11	db/日本野鳥大鑑1/11 クロコシジロウミツバメ.wav	1	11 クロコシジロウミツバメ	クロコシジロウミツバメ	Q1062575	Band-rumped Storm Petrel	クロコシジロウミツバメ	Q21685/Q193404/Q603287/Q1062575	ミズナギドリ目/ウミツバメ科/Oceanodroma/クロコシジロウミツバメ	Procellariiformes/Storm petrel/Oceanodroma/Band-rumped Storm Petrel	order/family//species
11	1_12	db/日本野鳥大鑑1/12 オーストンウミツバメ.wav	1	12 オーストンウミツバメ	オーストンウミツバメ	Q1262413	Tristram's Storm Petrel	オーストンウミツバメ	Q21685/Q193404/Q603287/Q1262413	ミズナギドリ目/ウミツバメ科/Oceanodroma/オーストンウミツバメ	Procellariiformes/Storm petrel/Oceanodroma/Tristram's Storm Petrel	order/family//species
12	1_13	db/日本野鳥大鑑1/13 カツオドリ.wav	1	13 カツオドリ	カツオドリ	Q320193	Brown Booby	カツオドリ	Q21728/Q208492/Q612817/Q320193	カツオドリ目/カツオドリ科/ブービー/カツオドリ	Suliformes/Sulidae/Sula/Brown Booby	order/family/genus/species
13	1_14	db/日本野鳥大鑑1/14 カワウ.wav	1	14 カワウ	カワウ	Q25440	Great Cormorant	カワウ	Q3901247/Q19401/Q25440	ウ科/ウ科/カワウ	Phalacrocoracidae/Phalacrocorax/Great Cormorant	family/genus/species
14	1_15	db/日本野鳥大鑑1/15 ウミウ.wav	1	15 ウミウ	ウミウ	Q727214	Japanese Cormorant	ウミウ	Q3901247/Q19401/Q727214	ウ科/ウ科/ウミウ	Phalacrocoracidae/Phalacrocorax/Japanese Cormorant	family/genus/species
15	1_16	db/日本野鳥大鑑1/16 チシマウガラス.wav	1	16 チシマウガラス	チシマウガラス	Q926664	Red-faced Cormorant	チシマウガラス	Q3901247/Q19401/Q926664	ウ科/ウ科/チシマウガラス	Phalacrocoracidae/Phalacrocorax/Red-faced Cormorant	family/genus/species
16	1_17	db/日本野鳥大鑑1/17 サンカノゴイ.wav	1	17 サンカノゴイ	サンカノゴイ	Q25709	Eurasian Bittern	サンカノゴイ	Q739050/Q25709	Botaurus/サンカノゴイ	Botaurus/Eurasian Bittern	/species
17	1_18	db/日本野鳥大鑑1/18 ヨシゴイ.wav	1	18 ヨシゴイ	ヨシゴイ	Q888536	Yellow Bittern	ヨシゴイ	Q19338/Q18789/Q855133/Q244078/Q888536	ペリカン目/サギ科/Botaurinae/Ixobrychus/ヨシゴイ	Pelecaniformes/Ardeidae/Botaurinae/Ixobrychus/Yellow Bittern	order/family///species
18	1_19	db/日本野鳥大鑑1/19 オオヨシゴイ.wav	1	19 オオヨシゴイ	オオヨシゴイ	Q888547	Von Schrenck’s Bittern	オオヨシゴイ	Q19338/Q18789/Q855133/Q244078/Q888547	ペリカン目/サギ科/Botaurinae/Ixobrychus/オオヨシゴイ	Pelecaniformes/Ardeidae/Botaurinae/Ixobrychus/Von Schrenck’s Bittern	order/family///species
19	1_20	db/日本野鳥大鑑1/20 リュウキュウヨシゴイ.wav	1	20 リュウキュウヨシゴイ	リュウキュウヨシゴイ	Q204111	Cinnamon Bittern	リュウキュウヨシゴイ	Q244078/Q204111	Ixobrychus/リュウキュウヨシゴイ	Ixobrychus/Cinnamon Bittern	/species
