audio_id	path	book_id	曲名	全長	分布	季節	環境
1_53	db/日本野鳥大鑑1/53 ヒドリガモ.wav	1	53 ヒドリガモ	48.5㎝	全国	冬鳥	湖沼、内湾、河川
1_54	db/日本野鳥大鑑1/54 オナガガモ.wav	1	54 オナガガモ	雄75㎝、雌53㎝	全国	冬鳥	湖沼
1_55	db/日本野鳥大鑑1/55 ホシハジロ.wav	1	55 ホシハジロ	45㎝	全国（北海道で繁殖、本州以南で越冬）	北海道で夏鳥、その他で冬鳥	越冬地は内湾、河口、池沼、湖沼など。繁殖地は湖沼など
1_56	db/日本野鳥大鑑1/56 キンクロハジロ.wav	1	56 キンクロハジロ	40㎝	全国。北海道で繁殖、本州以南で越冬	北海道で夏鳥、その他で冬鳥	越冬地は内湾、河口、池沼、湖沼など。繁殖地は湖沼など
1_57	db/日本野鳥大鑑1/57 スズガモ.wav	1	57 スズガモ	45㎝	全国。本州以南で越冬	冬鳥	内湾、河口など海水から汽水域
1_58	db/日本野鳥大鑑1/58 クロガモ.wav	1	58 クロガモ	48㎝	全国	おもに冬鳥。北海道で少数が繁殖、時に本州で越夏記録がある	内湾、外洋
1_59	db/日本野鳥大鑑1/59 シノリガモ.wav	1	59 シノリガモ	43㎝	全国	おもに冬鳥。東北地方で少数が繁殖	外洋に面した岩礁海岸、繁殖は渓流
1_60	db/日本野鳥大鑑1/60 コオリガモ.wav	1	60 コオリガモ	雄60㎝、雌38㎝	北海道、東北地方	冬鳥	内湾や外洋に面した海岸
1_61	db/日本野鳥大鑑1/61 カワアイサ.wav	1	61 カワアイサ	65㎝	全国。北海道で繁殖、本州以南で越冬	北海道で留鳥、その他で冬鳥	越冬地は湖沼、河口。繁殖地は湖沼や河川の周辺
2_01	db/日本野鳥大鑑2/01 ミサゴ.wav	2	01 ミサゴ	雄55㎝、雌64㎝。翼開長155～175㎝	全国	留鳥または漂鳥。北海道では夏鳥	海岸、大きな湖沼
2_02	db/日本野鳥大鑑2/02 ハチクマ.wav	2	02 ハチクマ	雄57㎝、雌61㎝。翼開長121～135㎝	本州、北海道で繁殖	夏鳥	低い山から丘陵地などの山地の森林
2_03	db/日本野鳥大鑑2/03 トビ.wav	2	03 トビ	雄58.5㎝、雌68.5㎝。翼開長157～162㎝	全国	留鳥または漂鳥	海岸から山地まで幅広い環境
2_04	db/日本野鳥大鑑2/04 オジロワシ.wav	2	04 オジロワシ	雄80㎝、雌94㎝。翼開長180～230㎝	繁殖は北海道。越冬は全国だが、おもに北日本	留鳥または冬鳥	海岸、河口、干拓地、湖沼などおもに水辺
2_05	db/日本野鳥大鑑2/05 オオワシ.wav	2	05 オオワシ	雄88㎝、雌102㎝。翼開長220～245㎝	全国。北日本	冬鳥	海岸、湖沼、河川などの水辺
2_06	db/日本野鳥大鑑2/06 オオタカ.wav	2	06 オオタカ	雄50㎝、雌56.5㎝。翼開長105～130㎝	全国。繁殖は本州と北海道、四国	留鳥または漂鳥	平地、丘陵地から山地の森林で繁殖。冬は農耕地、都会の公園など
2_07	db/日本野鳥大鑑2/07 アカハラダカ.wav	2	07 アカハラダカ	30㎝	おもに九州西部、対馬、南西諸島など南日本の島	旅鳥	繁殖地は森林。通過の場合はさまざまな環境の上空を飛ぶが、翼を休めるのは林
2_08	db/日本野鳥大鑑2/08 ツミ.wav	2	08 ツミ	雄27㎝、雌30㎝。翼開長51～63㎝	全国	留鳥または漂鳥	平地から山地の森林
2_09	db/日本野鳥大鑑2/09 ハイタカ.wav	2	09 ハイタカ	雄31.5㎝、雌39㎝。翼開長62～76㎝	全国。繁殖は本州以北	留鳥または漂鳥	山地の森林
2_10	db/日本野鳥大鑑2/10 ノスリ.wav	2	10 ノスリ	54㎝、翼開長122～137㎝	繁殖は四国、本州以北、越冬は全国	留鳥または漂鳥	夏は低山から山地、冬は山地と平地の農耕地、草原
2_11	db/日本野鳥大鑑2/11 オガサワラノスリ.wav	2	11 オガサワラノスリ					詳細記載なし
2_12	db/日本野鳥大鑑2/12 サシバ.wav	2	12 サシバ	49㎝、翼開長102.5㎝～115㎝	東北地方以南	夏鳥。南西諸島では越冬	低山、丘陵地の森林
2_13	db/日本野鳥大鑑2/13 クマタカ.wav	2	13 クマタカ	雄72㎝、雌80㎝。翼開長140～165㎝	全国。繁殖は九州以北	留鳥または漂鳥	山地の森林
2_14	db/日本野鳥大鑑2/14 イヌワシ.wav	2	14 イヌワシ	雄81㎝、雌89㎝。翼開長170～213㎝	ほぼ全国	留鳥または漂鳥	山地
2_15	db/日本野鳥大鑑2/15 カンムリワシ.wav	2	15 カンムリワシ	55㎝	石垣島、西表島	留鳥	森林から農耕地など
2_16	db/日本野鳥大鑑2/16 ハヤブサ.wav	2	16 ハヤブサ	雄38㎝、雌51㎝。翼開長84～120㎝	繁殖は本州以北。越冬は全国	留鳥または漂鳥	繁殖はおもに海辺の断崖。越冬は平地の農耕地、河口、干潟、湖沼など
2_17	db/日本野鳥大鑑2/17 チゴハヤブサ.wav	2	17 チゴハヤブサ	28～31㎝、翼開長69～76㎝	繁殖は北海道、東北地方。越冬は本州中部地方以南	漂鳥	牧場などの農耕地、草原、河口など開けた環境
2_18	db/日本野鳥大鑑2/18 チョウゲンボウ.wav	2	18 チョウゲンボウ	雄30㎝、雌33㎝。翼開長69～74㎝	全国	留鳥または漂鳥	平地から山地の農耕地、河川敷など開けた環境
2_19	db/日本野鳥大鑑2/19 ライチョウ.wav	2	19 ライチョウ	37㎝	本州中部地方の日本アルプスなど	留鳥	高山
2_20	db/日本野鳥大鑑2/20 エゾライチョウ.wav	2	20 エゾライチョウ	36㎝	北海道	留鳥	平地から高山の林
2_21	db/日本野鳥大鑑2/21 ウズラ.wav	2	21 ウズラ	20㎝	繁殖は北海道から九州。越冬は本州から九州	留鳥または漂鳥	河川敷の草原、山地や丘陵地の草地、農耕地など
2_22	db/日本野鳥大鑑2/22 ヤマドリ.wav	2	22 ヤマドリ	雄125㎝、雌55㎝	本州以南	留鳥	平地から山地の林
2_23	db/日本野鳥大鑑2/23 キジ.wav	2	23 キジ	雄80㎝、雌60㎝	本州以南、屋久島まで	留鳥	平地から丘陵地の草原、農耕地、ゴルフ場など開けた環境
2_24	db/日本野鳥大鑑2/24 ミフウズラ.wav	2	24 ミフウズラ	14㎝	南西諸島	留鳥	農耕地、草原
2_25	db/日本野鳥大鑑2/25 クロヅル.wav	2	25 クロヅル	114㎝	ほぼ全国	冬鳥	水田、干拓地など
2_26	db/日本野鳥大鑑2/26 タンチョウ.wav	2	26 タンチョウ	140㎝	北海道東部	留鳥	湿原、干潟、河川の中州などの水辺や牧場などの開けた環境
2_27	db/日本野鳥大鑑2/27 ナベヅル.wav	2	27 ナベヅル	96.5㎝	おもに鹿児島県出水、山口県八代に局地的	冬鳥	干拓地、水田
2_28	db/日本野鳥大鑑2/28 カナダヅル.wav	2	28 カナダヅル	90㎝	北海道、九州など各地	冬鳥	農耕地、干拓地など開けた環境
2_29	db/日本野鳥大鑑2/29 マナヅル.wav	2	29 マナヅル	120㎝	おもに鹿児島県出水	冬鳥	干拓地、農耕地
